 1	User #374494	  0:08:20	  0:00:48	51
 2	Chuck Walker	  0:08:31	  0:01:22	50
 3	Stefan Tihanyi	  0:08:43	  0:00:31	49
 4	mozesmagyar	  0:10:27	  0:03:19	48
 5	Marie Payne	  0:14:43	  0:06:42	47
 6	frigley1	  0:17:50	  0:02:01	46
 7	kelly ma	  0:49:47	  0:17:46	45
 8	Daniel Shanker	  7:45:43	  0:04:01	44
 9	Benjamin Wuethrich	 11:32:24	  0:03:36	43
10	User #1060563	 14:38:05	  0:05:28	42
11	grossjo	 14:43:05	  0:00:57	41
12	Adam Harvie	 18:01:49	  8:26:46	40
13	David McFadzean	 19:18:29	  0:08:53	39
14	dubyte	 20:08:08	 18:40:17	38
15	Michael Tardibuono	 20:11:18	  0:04:19	37
16	Quin Millard	 20:36:53	  1:13:05	36
17	dracoyunho	 21:37:51	  0:18:09	35
18	Mark Armstrong	 22:40:58	  1:00:25	34
19	emmawilsonix	 37:42:58	  0:10:56	33
20	Cameron Ouellette	206:25:17	  0:01:11	32
21	Peter Chau	256:23:37	  0:05:29	31
22	Pat Smuk	8756:21:46	  0:06:00	30
