 1	User #197423	  0:20:08	  0:10:37	22	15
 2	vincentr21	  0:34:30	  0:24:49	21	14
 3	Andrew Walker	  0:38:01	  0:19:31	20	13
 4	Michael Tardibuono	  0:43:30	  0:31:26	19	12
 5	eolalde	  1:03:20	  0:33:11	18	11
 6	Ivan Peng	  1:57:32	  0:24:19	17	10
 7	bewuethr	  1:57:52	  1:08:53	16	9
 8	danielshanker	  9:56:13	  0:58:07	15	8
 9	pingpongkingkong	 13:42:51	  1:12:55	14	7
10	Ricky Kwan	 17:25:46	 16:01:15	13	6
11	Noah Kipin	 19:52:08	  4:46:34	12	5
12	Adam Harvie	 48:11:08	  1:04:03	11	4
13	James Bannerman	 62:06:14	 19:21:30	10	3
14	Peter Chau	 82:05:47	  0:18:39	9	2
15	Dumtard	110:06:56	 23:23:25	8	1
